policy,rrs_mode,m_budget_mb,bw_gbps,epsilon,epsilon_abs,epsilon_norm,token_ref,requests,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,hit_rate,resident_hit_rate,offload_hit_rate,recompute_ratio,restore_ratio,qloss_current,qloss_peak,qloss_current_abs,qloss_peak_abs,qloss_current_norm,qloss_peak_norm,memory_peak_mb,migrations,evictions,offloads,drops,epsilon_ok,experiment,repeat_seed,method,epsilon_norm_cfg,qloss_within_budget
pgdsf,rrs,1600.0,8.0,145.466,145.466,0.002,72733,450,14.28,212.4,61.5792,0.28,0.28,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.96,0,353,0,353,True,H4,1,ragcache_pgdsf_approx,0.002,True
static-int4,rrs,1600.0,8.0,145.466,145.466,0.002,72733,450,1.26,117.012,15.705867,0.788889,0.788889,0.0,0.211111,0.0,426.384,426.656,426.384,426.656,0.005862,0.005866,1599.96,0,84,0,84,False,H4,1,static-int4,0.002,False
score,rrs,1600.0,8.0,145.466,145.466,0.002,72733,450,17.52,212.4,61.530133,0.124444,0.124444,0.0,0.875556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.72,0,430,0,430,True,H4,1,lpe-only,0.002,True
tiered,rrs,1600.0,8.0,145.466,145.466,0.002,72733,450,2.88,198.636,41.852267,0.571111,0.571111,0.0,0.428889,0.0,145.46,145.46,145.46,145.46,0.002,0.002,1598.73,72,192,0,192,True,H4,1,tms-tiered,0.002,True
pgdsf,rrs,1600.0,8.0,290.932,290.932,0.004,72733,450,14.28,212.4,61.5792,0.28,0.28,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.96,0,353,0,353,True,H4,1,ragcache_pgdsf_approx,0.004,True
static-int4,rrs,1600.0,8.0,290.932,290.932,0.004,72733,450,1.26,117.012,15.705867,0.788889,0.788889,0.0,0.211111,0.0,426.384,426.656,426.384,426.656,0.005862,0.005866,1599.96,0,84,0,84,False,H4,1,static-int4,0.004,False
score,rrs,1600.0,8.0,290.932,290.932,0.004,72733,450,17.52,212.4,61.530133,0.124444,0.124444,0.0,0.875556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.72,0,430,0,430,True,H4,1,lpe-only,0.004,True
tiered,rrs,1600.0,8.0,290.932,290.932,0.004,72733,450,0.84,180.6,31.225867,0.757778,0.757778,0.0,0.242222,0.0,290.92,290.92,290.92,290.92,0.004,0.004,1598.79,120,89,0,89,True,H4,1,tms-tiered,0.004,True
pgdsf,rrs,1600.0,8.0,581.864,581.864,0.008,72733,450,14.28,212.4,61.5792,0.28,0.28,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.96,0,353,0,353,True,H4,1,ragcache_pgdsf_approx,0.008,True
static-int4,rrs,1600.0,8.0,581.864,581.864,0.008,72733,450,1.26,117.012,15.705867,0.788889,0.788889,0.0,0.211111,0.0,426.384,426.656,426.384,426.656,0.005862,0.005866,1599.96,0,84,0,84,True,H4,1,static-int4,0.008,True
score,rrs,1600.0,8.0,581.864,581.864,0.008,72733,450,17.52,212.4,61.530133,0.124444,0.124444,0.0,0.875556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.72,0,430,0,430,True,H4,1,lpe-only,0.008,True
