experiment,bw_gbps,epsilon_abs,epsilon_norm,token_ref,object_id,object_type,n_tokens,p_reuse,q_star_offline,q_star_pred,offline_cost,predicted_cost
H5,0.5,36.3665,0.0005,72733,ACt45V7_0:session_prefix,sharegpt_session_prefix,2229,0.86954,int4,full,267.505135,267.48
H5,0.5,36.3665,0.0005,72733,wNBG8Gp_0:session_prefix,sharegpt_session_prefix,2061,0.923276,int4,full,238.560832,247.32
H5,0.5,36.3665,0.0005,72733,wNBG8Gp_65:session_prefix,sharegpt_session_prefix,1908,0.899384,int4,full,213.278834,228.96
H5,0.5,36.3665,0.0005,72733,wNBG8Gp_33:session_prefix,sharegpt_session_prefix,1808,0.943199,int4,full,197.600812,216.96
H5,0.5,36.3665,0.0005,72733,BmS3AX0_0:session_prefix,sharegpt_session_prefix,1918,0.830172,int4,full,214.681183,230.16
H5,0.5,36.3665,0.0005,72733,hRPPgZT_0:session_prefix,sharegpt_session_prefix,1823,0.86954,int4,full,199.717598,218.76
H5,0.5,36.3665,0.0005,72733,UGg8d44_9:session_prefix,sharegpt_session_prefix,1712,0.923276,int4,full,182.860656,205.44
H5,0.5,36.3665,0.0005,72733,wNBG8Gp_51:session_prefix,sharegpt_session_prefix,1750,0.899384,int4,full,188.541786,210.0
H5,0.5,36.3665,0.0005,72733,etlVnIy_0:session_prefix,sharegpt_session_prefix,1720,0.899384,int4,full,183.993763,206.4
H5,0.5,36.3665,0.0005,72733,QWJhYvA_0:session_prefix,sharegpt_session_prefix,1770,0.86954,int4,full,191.510668,212.4
H5,0.5,36.3665,0.0005,72733,88iCu0j_0:session_prefix,sharegpt_session_prefix,1705,0.86954,int4,full,181.648037,204.6
H5,0.5,36.3665,0.0005,72733,fud9GZG_0:session_prefix,sharegpt_session_prefix,1784,0.774138,int4,full,193.377916,214.08
H5,0.5,36.3665,0.0005,72733,vH787Fr_0:session_prefix,sharegpt_session_prefix,1436,0.943199,int4,full,143.424645,172.32
H5,0.5,36.3665,0.0005,72733,wNBG8Gp_23:session_prefix,sharegpt_session_prefix,1589,0.830172,int4,full,164.483183,190.68
H5,0.5,36.3665,0.0005,72733,tgKByb7_0:session_prefix,sharegpt_session_prefix,1586,0.830172,int4,full,164.051743,190.32
H5,0.5,36.3665,0.0005,72733,UGg8d44_47:session_prefix,sharegpt_session_prefix,1505,0.86954,int4,full,152.700572,180.6
H5,0.5,36.3665,0.0005,72733,fud9GZG_7:session_prefix,sharegpt_session_prefix,1481,0.86954,int4,full,149.368791,177.72
H5,0.5,36.3665,0.0005,72733,idMLILF_0:session_prefix,sharegpt_session_prefix,1457,0.86954,int4,full,146.067421,174.84
H5,0.5,36.3665,0.0005,72733,VY7cMKG_0:session_prefix,sharegpt_session_prefix,1437,0.86954,int4,full,143.33951,172.44
H5,0.5,36.3665,0.0005,72733,fcxU0TT_0:session_prefix,sharegpt_session_prefix,1355,0.86954,int4,full,132.375864,162.6
H5,0.5,36.3665,0.0005,72733,J410gdS_38:session_prefix,sharegpt_session_prefix,1694,0.68477,int4,full,179.446735,203.28
H5,0.5,36.3665,0.0005,72733,UGg8d44_25:session_prefix,sharegpt_session_prefix,1328,0.86954,int4,full,128.843572,159.36
H5,0.5,36.3665,0.0005,72733,aFQ1wf6_0:session_prefix,sharegpt_session_prefix,1350,0.830172,int4,full,131.600729,162.0
