policy,rrs_mode,m_budget_mb,bw_gbps,epsilon,epsilon_abs,epsilon_norm,token_ref,requests,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,hit_rate,resident_hit_rate,offload_hit_rate,recompute_ratio,restore_ratio,qloss_current,qloss_peak,qloss_current_abs,qloss_peak_abs,qloss_current_norm,qloss_peak_norm,memory_peak_mb,migrations,evictions,offloads,drops,epsilon_ok,experiment,avg_restore_full_ms,avg_recomp_full_ms,critical_bw_gbps
tiered,always-restore,420.0,0.5,4.0,4.0,0.000617,6486,70,3.36,31.524,9.591429,0.642857,0.528571,0.114286,0.357143,0.114286,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,30.309474,13.654737,1.0
tiered,always-recompute,420.0,0.5,4.0,4.0,0.000617,6486,70,3.36,23.238,7.566857,0.642857,0.528571,0.114286,0.471429,0.0,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,30.309474,13.654737,1.0
tiered,rrs,420.0,0.5,4.0,4.0,0.000617,6486,70,3.36,23.238,7.566857,0.642857,0.528571,0.114286,0.471429,0.0,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,30.309474,13.654737,1.0
tiered,always-restore,420.0,1.0,4.0,4.0,0.000617,6486,70,3.36,23.238,7.909714,0.642857,0.528571,0.114286,0.357143,0.114286,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,16.654737,13.654737,1.0
tiered,always-recompute,420.0,1.0,4.0,4.0,0.000617,6486,70,3.36,23.238,7.566857,0.642857,0.528571,0.114286,0.471429,0.0,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,16.654737,13.654737,1.0
tiered,rrs,420.0,1.0,4.0,4.0,0.000617,6486,70,3.36,23.238,7.566857,0.642857,0.528571,0.114286,0.471429,0.0,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,16.654737,13.654737,1.0
tiered,always-restore,420.0,2.0,4.0,4.0,0.000617,6486,70,3.36,22.149,7.068857,0.642857,0.528571,0.114286,0.357143,0.114286,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,9.827368,13.654737,1.0
tiered,always-recompute,420.0,2.0,4.0,4.0,0.000617,6486,70,3.36,23.238,7.566857,0.642857,0.528571,0.114286,0.471429,0.0,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,9.827368,13.654737,1.0
tiered,rrs,420.0,2.0,4.0,4.0,0.000617,6486,70,3.36,22.149,7.068857,0.642857,0.528571,0.114286,0.357143,0.114286,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,9.827368,13.654737,1.0
tiered,always-restore,420.0,4.0,4.0,4.0,0.000617,6486,70,3.36,21.744,6.648429,0.642857,0.528571,0.114286,0.357143,0.114286,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,6.413684,13.654737,1.0
tiered,always-recompute,420.0,4.0,4.0,4.0,0.000617,6486,70,3.36,23.238,7.566857,0.642857,0.528571,0.114286,0.471429,0.0,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,6.413684,13.654737,1.0
tiered,rrs,420.0,4.0,4.0,4.0,0.000617,6486,70,3.36,21.744,6.648429,0.642857,0.528571,0.114286,0.357143,0.114286,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,6.413684,13.654737,1.0
tiered,always-restore,420.0,8.0,4.0,4.0,0.000617,6486,70,3.36,21.744,6.438214,0.642857,0.528571,0.114286,0.357143,0.114286,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,4.706842,13.654737,1.0
tiered,always-recompute,420.0,8.0,4.0,4.0,0.000617,6486,70,3.36,23.238,7.566857,0.642857,0.528571,0.114286,0.471429,0.0,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,4.706842,13.654737,1.0
tiered,rrs,420.0,8.0,4.0,4.0,0.000617,6486,70,3.36,21.744,6.438214,0.642857,0.528571,0.114286,0.357143,0.114286,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,4.706842,13.654737,1.0
tiered,always-restore,420.0,16.0,4.0,4.0,0.000617,6486,70,3.36,21.744,6.333107,0.642857,0.528571,0.114286,0.357143,0.114286,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,3.853421,13.654737,1.0
tiered,always-recompute,420.0,16.0,4.0,4.0,0.000617,6486,70,3.36,23.238,7.566857,0.642857,0.528571,0.114286,0.471429,0.0,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,3.853421,13.654737,1.0
tiered,rrs,420.0,16.0,4.0,4.0,0.000617,6486,70,3.36,21.744,6.333107,0.642857,0.528571,0.114286,0.357143,0.114286,3.984,3.984,3.984,3.984,0.000614,0.000614,419.52,25,25,22,3,True,H2,3.853421,13.654737,1.0
