experiment,bw_gbps,epsilon_abs,epsilon_norm,token_ref,object_id,object_type,n_tokens,p_reuse,q_star_offline,q_star_pred,offline_cost,predicted_cost
H5,0.5,3.243,0.0005,6486,prefix_003,prefix,168,0.917029,int4,int8,21.186017,17.201459
H5,0.5,3.243,0.0005,6486,session_025,session,211,0.693205,int4,int8,27.918819,22.813387
H5,0.5,3.243,0.0005,6486,prefix_017,prefix,165,0.863716,int4,int8,20.550354,16.828321
H5,0.5,3.243,0.0005,6486,session_029,session,253,0.546582,int8,int8,35.097021,28.770585
H5,0.5,3.243,0.0005,6486,session_007,session,186,0.696013,int4,int8,23.489222,19.490666
H5,0.5,3.243,0.0005,6486,session_013,session,194,0.641399,int4,int8,24.705288,20.535812
H5,0.5,3.243,0.0005,6486,session_028,session,219,0.562378,int4,int8,29.024654,23.911841
H5,0.5,3.243,0.0005,6486,session_030,session,195,0.602691,int4,int8,24.764318,20.667654
H5,0.5,3.243,0.0005,6486,session_024,session,204,0.566105,int4,int8,26.257575,21.866233
H5,0.5,3.243,0.0005,6486,prefix_004,prefix,145,0.792835,int4,int4,17.302373,14.208146
H5,0.5,3.243,0.0005,6486,session_021,session,192,0.595457,int4,int8,24.218934,20.272926
H5,0.5,3.243,0.0005,6486,prefix_018,prefix,122,0.891456,int4,int4,14.400363,10.934461
H5,0.5,3.243,0.0005,6486,prefix_016,prefix,136,0.790113,int4,int4,16.005566,12.85997
H5,0.5,3.243,0.0005,6486,session_023,session,202,0.526862,int4,int8,25.779476,21.598016
H5,0.5,3.243,0.0005,6486,prefix_002,prefix,113,0.929799,int4,int4,13.349305,9.806983
H5,0.5,3.243,0.0005,6486,prefix_010,prefix,129,0.806744,int4,int4,15.086337,11.871094
H5,0.5,3.243,0.0005,6486,prefix_012,prefix,145,0.657071,int4,int4,16.895081,14.208146
H5,0.5,3.243,0.0005,6486,session_022,session,122,0.75459,int4,int4,13.989763,10.934461
H5,0.5,3.243,0.0005,6486,session_033,session,157,0.568267,int4,int8,18.421452,15.845013
H5,0.5,3.243,0.0005,6486,rag_029,rag,133,0.651074,int4,int4,15.169558,12.429769
H5,0.5,3.243,0.0005,6486,session_016,session,158,0.520657,int4,int8,18.43187,15.966993
H5,0.5,3.243,0.0005,6486,rag_024,rag,133,0.595771,int4,int4,15.003649,12.429769
H5,0.5,3.243,0.0005,6486,rag_006,rag,97,0.761774,int4,int4,10.890596,8.015812
H5,0.5,3.243,0.0005,6486,prefix_009,prefix,74,0.95,int4,int4,8.911018,5.919182
H5,0.5,3.243,0.0005,6486,rag_022,rag,142,0.490064,int4,int4,15.959185,13.749158
H5,0.5,3.243,0.0005,6486,rag_020,rag,98,0.679612,int4,int4,10.761833,8.119764
H5,0.5,3.243,0.0005,6486,rag_016,rag,148,0.438771,int4,int4,16.680384,14.676729
H5,0.5,3.243,0.0005,6486,rag_045,rag,131,0.493594,int4,int4,14.420818,12.148299
H5,0.5,3.243,0.0005,6486,rag_026,rag,146,0.429157,int4,int4,16.35748,14.363274
H5,0.5,3.243,0.0005,6486,session_004,session,112,0.497442,int4,int4,11.925629,9.687038
H5,0.5,3.243,0.0005,6486,rag_011,rag,79,0.692923,int4,int4,8.666243,6.326993
H5,0.5,3.243,0.0005,6486,session_014,session,91,0.575879,int4,int4,9.638997,7.41449
H5,0.5,3.243,0.0005,6486,rag_046,rag,107,0.457654,int4,int4,11.18212,9.103308
H5,0.5,3.243,0.0005,6486,prefix_000,prefix,82,0.58405,int4,int4,8.662602,6.584474
H5,0.5,3.243,0.0005,6486,session_019,session,215,0.221585,int4,int8,27.24838,23.360482
H5,0.5,3.243,0.0005,6486,rag_025,rag,73,0.632115,int4,int4,7.853848,5.840818
H5,0.5,3.243,0.0005,6486,rag_032,rag,64,0.720007,int4,int4,7.212529,5.183523
H5,0.5,3.243,0.0005,6486,rag_040,rag,75,0.593958,int4,int4,7.946999,5.998612
H5,0.5,3.243,0.0005,6486,rag_003,rag,90,0.487431,int4,int4,9.260073,7.318001
H5,0.5,3.243,0.0005,6486,rag_010,rag,95,0.454946,int4,int4,9.736438,7.811106
H5,0.5,3.243,0.0005,6486,prefix_007,prefix,48,0.863395,int8,int8,5.930509,4.147058
H5,0.5,3.243,0.0005,6486,prefix_005,prefix,55,0.728291,int4,int4,6.38034,4.612587
H5,0.5,3.243,0.0005,6486,rag_009,rag,103,0.382828,int4,int4,10.468985,8.655516
H5,0.5,3.243,0.0005,6486,rag_051,rag,56,0.550384,int4,int4,5.939478,4.67176
H5,0.5,3.243,0.0005,6486,longtail_086,longtail,74,0.367763,int4,int4,7.164305,5.919182
H5,0.5,3.243,0.0005,6486,rag_007,rag,50,0.538277,int4,int4,5.354887,4.332716
H5,0.5,3.243,0.0005,6486,rag_017,rag,61,0.345607,int4,int4,5.798319,4.983615
H5,0.5,3.243,0.0005,6486,longtail_060,longtail,92,0.210863,int4,int4,8.658122,7.512045
H5,0.5,3.243,0.0005,6486,rag_037,rag,34,0.526006,int4,int4,3.562559,2.860248
H5,0.5,3.243,0.0005,6486,longtail_024,longtail,53,0.318248,int4,int4,4.96627,4.49744
H5,0.5,3.243,0.0005,6486,rag_038,rag,41,0.409188,int4,int8,4.064875,3.50403
H5,0.5,3.243,0.0005,6486,longtail_030,longtail,36,0.194314,int4,int8,3.005336,3.05272
H5,0.5,3.243,0.0005,6486,longtail_071,longtail,34,0.201726,int4,int4,2.834874,2.860248
H5,0.5,3.243,0.0005,6486,longtail_028,longtail,40,0.163265,sparse_k,int8,3.297863,3.413235
H5,0.5,3.243,0.0005,6486,longtail_042,longtail,24,0.236443,sparse_k,int4,1.948374,1.891058
H5,0.5,3.243,0.0005,6486,longtail_032,longtail,36,0.137895,sparse_k,int8,2.86102,3.05272
H5,0.5,3.243,0.0005,6486,longtail_008,longtail,48,0.06603,int4,int8,3.760125,4.147058
H5,0.5,6.486,0.001,6486,prefix_003,prefix,168,0.917029,int4,int4,17.008552,13.639013
H5,0.5,6.486,0.001,6486,session_025,session,211,0.693205,int4,int4,21.329217,19.782153
H5,0.5,6.486,0.001,6486,prefix_017,prefix,165,0.863716,int4,int4,16.520752,13.26244
H5,0.5,6.486,0.001,6486,session_029,session,253,0.546582,int4,int8,26.293788,26.272034
H5,0.5,6.486,0.001,6486,session_007,session,186,0.696013,int4,int4,18.36863,16.040933
H5,0.5,6.486,0.001,6486,session_013,session,194,0.641399,int4,int4,19.134743,17.186858
H5,0.5,6.486,0.001,6486,session_028,session,219,0.562378,int4,int4,21.925894,21.078858
H5,0.5,6.486,0.001,6486,session_030,session,195,0.602691,int4,int4,19.136196,17.333491
H5,0.5,6.486,0.001,6486,session_024,session,204,0.566105,int4,int4,20.097945,18.687116
H5,0.5,6.486,0.001,6486,prefix_004,prefix,145,0.792835,int4,int4,14.190439,10.925356
H5,0.5,6.486,0.001,6486,session_021,session,192,0.595457,int4,int4,18.762653,16.895853
H5,0.5,6.486,0.001,6486,prefix_018,prefix,122,0.891456,int4,int4,12.197366,8.610511
H5,0.5,6.486,0.001,6486,prefix_016,prefix,136,0.790113,int4,int4,13.267953,9.972051
H5,0.5,6.486,0.001,6486,session_023,session,202,0.526862,int4,int4,19.740031,18.381033
H5,0.5,6.486,0.001,6486,prefix_002,prefix,113,0.929799,int4,int4,11.459351,7.813264
H5,0.5,6.486,0.001,6486,prefix_010,prefix,129,0.806744,int4,int4,12.623285,9.272811
H5,0.5,6.486,0.001,6486,prefix_012,prefix,145,0.657071,int4,int4,13.783148,10.925356
H5,0.5,6.486,0.001,6486,session_022,session,122,0.75459,int4,int4,11.786766,8.610511
H5,0.5,6.486,0.001,6486,session_033,session,157,0.568267,int4,int4,14.773126,12.291419
H5,0.5,6.486,0.001,6486,rag_029,rag,133,0.651074,int4,int4,12.551389,9.667853
H5,0.5,6.486,0.001,6486,session_016,session,158,0.520657,int4,int4,14.736921,12.410158
H5,0.5,6.486,0.001,6486,rag_024,rag,133,0.595771,int4,int4,12.38548,9.667853
H5,0.5,6.486,0.001,6486,rag_006,rag,97,0.761774,int4,int4,9.49796,6.546714
H5,0.5,6.486,0.001,6486,prefix_009,prefix,74,0.95,sparse_k,int4,7.921704,5.064174
H5,0.5,6.486,0.001,6486,rag_022,rag,142,0.490064,int4,int4,12.974689,10.600803
H5,0.5,6.486,0.001,6486,rag_020,rag,98,0.679612,int4,int4,9.340334,6.62022
H5,0.5,6.486,0.001,6486,rag_016,rag,148,0.438771,int4,int4,13.438349,11.256694
H5,0.5,6.486,0.001,6486,rag_045,rag,131,0.493594,int4,int4,11.8808,9.468824
H5,0.5,6.486,0.001,6486,rag_026,rag,146,0.429157,int4,int4,13.202475,11.035048
H5,0.5,6.486,0.001,6486,session_004,session,112,0.497442,int4,int4,10.068977,7.72845
H5,0.5,6.486,0.001,6486,rag_011,rag,79,0.692923,sparse_k,int4,7.602776,5.35254
H5,0.5,6.486,0.001,6486,session_014,session,91,0.575879,sparse_k,int4,8.393787,6.121516
H5,0.5,6.486,0.001,6486,rag_046,rag,107,0.457654,int4,int4,9.487541,7.315691
H5,0.5,6.486,0.001,6486,prefix_000,prefix,82,0.58405,sparse_k,int4,7.554199,5.534606
H5,0.5,6.486,0.001,6486,session_019,session,215,0.221585,int4,int4,20.406567,20.424474
H5,0.5,6.486,0.001,6486,rag_025,rag,73,0.632115,sparse_k,int4,6.879254,5.008762
H5,0.5,6.486,0.001,6486,rag_032,rag,64,0.720007,sparse_k,int4,6.368747,4.543984
H5,0.5,6.486,0.001,6486,rag_040,rag,75,0.593958,sparse_k,int4,6.942929,5.120339
H5,0.5,6.486,0.001,6486,rag_003,rag,90,0.487431,sparse_k,int4,8.030212,6.053288
H5,0.5,6.486,0.001,6486,rag_010,rag,95,0.454946,int4,int4,8.400638,6.401966
H5,0.5,6.486,0.001,6486,prefix_007,prefix,48,0.863395,sparse_k,sparse_k,5.533593,3.86042
H5,0.5,6.486,0.001,6486,prefix_005,prefix,55,0.728291,sparse_k,int4,5.664374,4.140271
H5,0.5,6.486,0.001,6486,rag_009,rag,103,0.382828,int4,int4,8.898735,6.999053
H5,0.5,6.486,0.001,6486,rag_051,rag,56,0.550384,sparse_k,int4,5.209458,4.182113
H5,0.5,6.486,0.001,6486,longtail_086,longtail,74,0.367763,sparse_k,int4,6.174992,5.064174
H5,0.5,6.486,0.001,6486,rag_007,rag,50,0.538277,sparse_k,int4,4.708634,3.942373
H5,0.5,6.486,0.001,6486,rag_017,rag,61,0.345607,sparse_k,int4,4.997475,4.402628
H5,0.5,6.486,0.001,6486,longtail_060,longtail,92,0.210863,sparse_k,int4,7.397526,6.190498
H5,0.5,6.486,0.001,6486,rag_037,rag,34,0.526006,int4,int4,3.391458,2.679753
