experiment,bw_gbps,epsilon_abs,epsilon_norm,token_ref,kendall_tau,agreement_ratio,passes_08_tau_gate
H5,0.5,3.243,0.0005,6486,0.111111,0.666667,False
H5,0.5,6.486,0.001,6486,1.0,0.614035,True
H5,0.5,12.972,0.002,6486,1.0,0.315789,True
H5,0.5,25.944,0.004,6486,1.0,0.368421,True
H5,0.5,51.888,0.008,6486,1.0,0.578947,True
H5,1.0,3.243,0.0005,6486,1.0,0.859649,True
H5,1.0,6.486,0.001,6486,1.0,0.666667,True
H5,1.0,12.972,0.002,6486,1.0,0.631579,True
H5,1.0,25.944,0.004,6486,1.0,0.350877,True
H5,1.0,51.888,0.008,6486,1.0,0.315789,True
H5,2.0,3.243,0.0005,6486,1.0,0.964912,True
H5,2.0,6.486,0.001,6486,1.0,0.701754,True
H5,2.0,12.972,0.002,6486,1.0,0.45614,True
H5,2.0,25.944,0.004,6486,1.0,0.403509,True
H5,2.0,51.888,0.008,6486,1.0,0.263158,True
H5,4.0,3.243,0.0005,6486,1.0,1.0,True
H5,4.0,6.486,0.001,6486,1.0,0.842105,True
H5,4.0,12.972,0.002,6486,1.0,0.596491,True
H5,4.0,25.944,0.004,6486,1.0,0.315789,True
H5,4.0,51.888,0.008,6486,1.0,0.22807,True
H5,8.0,3.243,0.0005,6486,1.0,0.982456,True
H5,8.0,6.486,0.001,6486,1.0,0.842105,True
H5,8.0,12.972,0.002,6486,1.0,0.719298,True
H5,8.0,25.944,0.004,6486,1.0,0.508772,True
H5,8.0,51.888,0.008,6486,1.0,0.140351,True
H5,16.0,3.243,0.0005,6486,1.0,0.982456,True
H5,16.0,6.486,0.001,6486,1.0,0.859649,True
H5,16.0,12.972,0.002,6486,1.0,0.596491,True
H5,16.0,25.944,0.004,6486,1.0,0.508772,True
H5,16.0,51.888,0.008,6486,1.0,0.403509,True
H5,32.0,3.243,0.0005,6486,1.0,1.0,True
H5,32.0,6.486,0.001,6486,1.0,0.894737,True
H5,32.0,12.972,0.002,6486,1.0,0.736842,True
H5,32.0,25.944,0.004,6486,1.0,0.421053,True
H5,32.0,51.888,0.008,6486,1.0,0.263158,True
