policy,rrs_mode,m_budget_mb,bw_gbps,epsilon,epsilon_abs,epsilon_norm,token_ref,requests,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,hit_rate,resident_hit_rate,offload_hit_rate,recompute_ratio,restore_ratio,qloss_current,qloss_peak,qloss_current_abs,qloss_peak_abs,qloss_current_norm,qloss_peak_norm,memory_peak_mb,migrations,evictions,offloads,drops,epsilon_ok,experiment,lpe_label
lru,rrs,3000.0,8.0,4.0,4.0,0.000932,4293,10,5.76,24.942,10.044,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.16,0,0,0,0,True,H1,lru
lfu,rrs,3000.0,8.0,4.0,4.0,0.000932,4293,10,5.76,24.942,10.044,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.16,0,0,0,0,True,H1,lfu
score,rrs,3000.0,8.0,4.0,4.0,0.000932,4293,10,5.76,24.942,10.044,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.16,0,0,0,0,True,H1,LPE-score
tiered,rrs,3000.0,8.0,4.0,4.0,0.000932,4293,10,5.76,24.942,10.044,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.16,0,0,0,0,True,H1,tiered
lru,rrs,3400.0,8.0,4.0,4.0,0.000932,4293,10,5.76,24.942,10.044,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.16,0,0,0,0,True,H1,lru
lfu,rrs,3400.0,8.0,4.0,4.0,0.000932,4293,10,5.76,24.942,10.044,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.16,0,0,0,0,True,H1,lfu
score,rrs,3400.0,8.0,4.0,4.0,0.000932,4293,10,5.76,24.942,10.044,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.16,0,0,0,0,True,H1,LPE-score
tiered,rrs,3400.0,8.0,4.0,4.0,0.000932,4293,10,5.76,24.942,10.044,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.16,0,0,0,0,True,H1,tiered
lru,rrs,3800.0,8.0,4.0,4.0,0.000932,4293,10,5.76,24.942,10.044,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.16,0,0,0,0,True,H1,lru
lfu,rrs,3800.0,8.0,4.0,4.0,0.000932,4293,10,5.76,24.942,10.044,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.16,0,0,0,0,True,H1,lfu
score,rrs,3800.0,8.0,4.0,4.0,0.000932,4293,10,5.76,24.942,10.044,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.16,0,0,0,0,True,H1,LPE-score
tiered,rrs,3800.0,8.0,4.0,4.0,0.000932,4293,10,5.76,24.942,10.044,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.16,0,0,0,0,True,H1,tiered
