policy,rrs_mode,m_budget_mb,bw_gbps,epsilon,epsilon_abs,epsilon_norm,token_ref,requests,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,hit_rate,resident_hit_rate,offload_hit_rate,recompute_ratio,restore_ratio,qloss_current,qloss_peak,qloss_current_abs,qloss_peak_abs,qloss_current_norm,qloss_peak_norm,memory_peak_mb,migrations,evictions,offloads,drops,epsilon_ok,experiment,avg_restore_full_ms,avg_recomp_full_ms,critical_bw_gbps
tiered,always-restore,420.0,0.5,4.0,4.0,5.5e-05,72733,450,55.38,441.132,140.012,0.895556,0.195556,0.7,0.104444,0.7,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,201.362727,99.181364,1.0
tiered,always-recompute,420.0,0.5,4.0,4.0,5.5e-05,72733,450,26.88,227.574,75.385333,0.895556,0.195556,0.7,0.804444,0.0,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,201.362727,99.181364,1.0
tiered,rrs,420.0,0.5,4.0,4.0,5.5e-05,72733,450,26.88,227.574,75.385333,0.895556,0.195556,0.7,0.804444,0.0,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,201.362727,99.181364,1.0
tiered,always-restore,420.0,1.0,4.0,4.0,5.5e-05,72733,450,29.88,229.188,77.485333,0.895556,0.195556,0.7,0.104444,0.7,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,102.181364,99.181364,1.0
tiered,always-recompute,420.0,1.0,4.0,4.0,5.5e-05,72733,450,26.88,227.574,75.385333,0.895556,0.195556,0.7,0.804444,0.0,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,102.181364,99.181364,1.0
tiered,rrs,420.0,1.0,4.0,4.0,5.5e-05,72733,450,26.88,227.574,75.385333,0.895556,0.195556,0.7,0.804444,0.0,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,102.181364,99.181364,1.0
tiered,always-restore,420.0,2.0,4.0,4.0,5.5e-05,72733,450,16.68,131.433,46.222,0.895556,0.195556,0.7,0.104444,0.7,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,52.590682,99.181364,1.0
tiered,always-recompute,420.0,2.0,4.0,4.0,5.5e-05,72733,450,26.88,227.574,75.385333,0.895556,0.195556,0.7,0.804444,0.0,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,52.590682,99.181364,1.0
tiered,rrs,420.0,2.0,4.0,4.0,5.5e-05,72733,450,16.68,131.433,46.2084,0.895556,0.195556,0.7,0.217778,0.586667,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,52.590682,99.181364,1.0
tiered,always-restore,420.0,4.0,4.0,4.0,5.5e-05,72733,450,10.08,105.702,30.590333,0.895556,0.195556,0.7,0.104444,0.7,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,27.795341,99.181364,1.0
tiered,always-recompute,420.0,4.0,4.0,4.0,5.5e-05,72733,450,26.88,227.574,75.385333,0.895556,0.195556,0.7,0.804444,0.0,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,27.795341,99.181364,1.0
tiered,rrs,420.0,4.0,4.0,4.0,5.5e-05,72733,450,10.08,105.702,30.590333,0.895556,0.195556,0.7,0.104444,0.7,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,27.795341,99.181364,1.0
tiered,always-restore,420.0,8.0,4.0,4.0,5.5e-05,72733,450,7.47,104.90925,22.7745,0.895556,0.195556,0.7,0.104444,0.7,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,15.39767,99.181364,1.0
tiered,always-recompute,420.0,8.0,4.0,4.0,5.5e-05,72733,450,26.88,227.574,75.385333,0.895556,0.195556,0.7,0.804444,0.0,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,15.39767,99.181364,1.0
tiered,rrs,420.0,8.0,4.0,4.0,5.5e-05,72733,450,7.47,104.90925,22.7745,0.895556,0.195556,0.7,0.104444,0.7,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,15.39767,99.181364,1.0
tiered,always-restore,420.0,16.0,4.0,4.0,5.5e-05,72733,450,6.04875,104.646,18.866583,0.895556,0.195556,0.7,0.104444,0.7,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,9.198835,99.181364,1.0
tiered,always-recompute,420.0,16.0,4.0,4.0,5.5e-05,72733,450,26.88,227.574,75.385333,0.895556,0.195556,0.7,0.804444,0.0,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,9.198835,99.181364,1.0
tiered,rrs,420.0,16.0,4.0,4.0,5.5e-05,72733,450,6.04875,104.646,18.866583,0.895556,0.195556,0.7,0.104444,0.7,4.0,4.0,4.0,4.0,5.5e-05,5.5e-05,419.952,12,399,399,0,True,H2,9.198835,99.181364,1.0
