experiment,bw_gbps,epsilon_abs,epsilon_norm,token_ref,kendall_tau,agreement_ratio,passes_08_tau_gate
H5,0.5,36.3665,0.0005,72733,1.0,0.272727,True
H5,0.5,72.733,0.001,72733,1.0,0.25,True
H5,0.5,145.466,0.002,72733,1.0,0.318182,True
H5,0.5,290.932,0.004,72733,1.0,0.329545,True
H5,0.5,581.864,0.008,72733,1.0,0.363636,True
H5,1.0,36.3665,0.0005,72733,1.0,0.375,True
H5,1.0,72.733,0.001,72733,1.0,0.193182,True
H5,1.0,145.466,0.002,72733,1.0,0.238636,True
H5,1.0,290.932,0.004,72733,1.0,0.25,True
H5,1.0,581.864,0.008,72733,1.0,0.318182,True
H5,2.0,36.3665,0.0005,72733,1.0,0.238636,True
H5,2.0,72.733,0.001,72733,1.0,0.238636,True
H5,2.0,145.466,0.002,72733,1.0,0.159091,True
H5,2.0,290.932,0.004,72733,1.0,0.193182,True
H5,2.0,581.864,0.008,72733,1.0,0.238636,True
H5,4.0,36.3665,0.0005,72733,1.0,0.147727,True
H5,4.0,72.733,0.001,72733,1.0,0.125,True
H5,4.0,145.466,0.002,72733,1.0,0.0,True
H5,4.0,290.932,0.004,72733,1.0,0.147727,True
H5,4.0,581.864,0.008,72733,1.0,0.159091,True
H5,8.0,36.3665,0.0005,72733,1.0,0.545455,True
H5,8.0,72.733,0.001,72733,1.0,0.045455,True
H5,8.0,145.466,0.002,72733,1.0,0.0,True
H5,8.0,290.932,0.004,72733,1.0,0.0,True
H5,8.0,581.864,0.008,72733,1.0,0.0,True
H5,16.0,36.3665,0.0005,72733,1.0,0.636364,True
H5,16.0,72.733,0.001,72733,1.0,0.375,True
H5,16.0,145.466,0.002,72733,1.0,0.0,True
H5,16.0,290.932,0.004,72733,1.0,0.0,True
H5,16.0,581.864,0.008,72733,1.0,0.0,True
H5,32.0,36.3665,0.0005,72733,1.0,0.875,True
H5,32.0,72.733,0.001,72733,1.0,0.625,True
H5,32.0,145.466,0.002,72733,1.0,0.318182,True
H5,32.0,290.932,0.004,72733,1.0,0.0,True
H5,32.0,581.864,0.008,72733,1.0,0.0,True
